t,z_m,v_m,eds
3.4634634634634636,-58622.840326641315,-33807.05610759555,0
3.4734734734734736,-58961.734401327296,-33903.97868730687,0
3.4834834834834836,-59301.598638006246,-34000.894887703085,0
3.4934934934934936,-59642.43298117279,-34097.80625185951,0
3.5035035035035036,-59984.23739067355,-34194.714356211254,0
3.5135135135135136,-60327.011841756925,-34291.62076600886,0
3.5235235235235236,-60670.75632509013,-34388.52703432693,0
3.5335335335335336,-61015.470846759265,-34485.43470206406,0
3.5435435435435436,-61361.15542826927,-34582.34529794292,0
3.5535535535535536,-61707.810106543926,-34679.26033851017,0
3.5635635635635636,-62055.434933922035,-34776.18132807159,0
3.5735735735735736,-62404.02997654839,-34873.10972226901,0
3.5835835835835836,-62753.59531647171,-34970.04694045193,0
3.5935935935935936,-63104.13105015424,-35066.99436952028,0
3.6036036036036037,-63455.63728629794,-35163.95333537487,0
3.6136136136136137,-63808.1141458445,-35260.925102917354,0
3.6236236236236237,-64161.56176197533,-35357.91087605028,0
3.6336336336336337,-64515.980280111595,-35454.91179767705,0
3.6436436436436437,-64871.36985791414,-35551.92894970194,0
3.6536536536536537,-65227.73066469212,-35648.963350032376,0
3.6636636636636637,-65585.06287632091,-35746.01592126682,0
3.6736736736736737,-65943.36668072976,-35843.087514883344,0
3.6836836836836837,-66302.64227296515,-35940.17889709131,0
3.6936936936936937,-66662.88985372624,-36037.29074253986,0
3.7037037037037037,-67024.10962936484,-36134.42363431792,0
3.7137137137137137,-67386.30181188544,-36231.578063954235,0
3.7237237237237237,-67749.46661894517,-36328.754431417314,0
3.7337337337337337,-68113.60427385289,-36425.95304511471,0
3.7437437437437437,-68478.71500074762,-36523.17411582989,0
3.7537537537537538,-68844.79902473006,-36620.4177503599,0
3.7637637637637638,-69211.85657288523,-36717.6839594032,0
3.7737737737737738,-69579.88787025123,-36814.97265663292,0
3.7837837837837838,-69948.89313981935,-36912.28365869687,0
3.793793793793794,-70318.872602534,-37009.61668521756,0
3.803803803803804,-70689.82647729274,-37106.97135879216,0
3.813813813813814,-71061.75498049676,-37204.34720595624,0
3.823823823823824,-71434.65832060802,-37301.74366467046,0
3.833833833833834,-71808.53670141344,-37399.16007419887,0
3.843843843843844,-72183.39031912033,-37496.595689848495,0
3.853853853853854,-72559.21936113872,-37594.049686540435,0
3.863863863863864,-72936.02400608137,-37691.52115880985,0
3.873873873873874,-73313.80442376372,-37789.00912080599,0
3.883883883883884,-73692.56077517623,-37886.51250647606,0
3.893893893893894,-74072.29320930107,-37984.030186446784,0
3.903903903903904,-74453.00186320076,-38081.56095866778,0
3.913913913913914,-74834.6868619275,-38179.10356054715,0
3.923923923923924,-75217.34831700403,-38276.656681758745,0
3.933933933933934,-75600.98632642342,-38374.21896424218,0
3.943943943943944,-75985.60097464923,-38471.78900220284,0
3.953953953953954,-76371.19233261545,-38569.36534211183,0
3.963963963963964,-76757.76045653255,-38666.94650103487,0
3.973973973973974,-77145.30538668034,-38764.53096608043,0
3.983983983983984,-77533.82714847688,-38862.11719554604,0
3.993993993993994,-77923.32575181227,-38959.703642981665,0
4.004004004004004,-78313.80119104762,-39057.288757212904,0
4.014014014014014,-78705.25344501498,-39154.870982340944,0
4.024024024024024,-79097.68247701744,-39252.44875774259,0
4.034034034034034,-79491.08823496992,-39350.02052371585,0
4.044044044044044,-79885.47065134028,-39447.58475244689,0
4.054054054054054,-80280.82964196519,-39545.13991496507,0
4.064064064064064,-80677.1651083374,-39642.684517846414,0
4.074074074074074,-81074.47693788564,-39740.21711009763,0
4.084084084084084,-81472.76500397468,-39837.736283156024,0
4.094094094094094,-81872.02916590523,-39935.2406708896,0
4.104104104104104,-82272.26926891407,-40032.72894959698,0
4.114114114114114,-82673.48514426385,-40130.19983876142,0
4.124124124124124,-83075.67661236844,-40227.65213161125,0
4.134134134134134,-83478.84348047392,-40325.084681819055,0
4.1441441441441444,-83882.9855449177,-40422.49641040836,0
4.1541541541541545,-84288.10259284455,-40519.886317956974,0
4.1641641641641645,-84694.19440220666,-40617.25348459697,0
4.1741741741741745,-85101.26074176354,-40714.59707001473,0
